Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
sma_price (best),0.46075964762878496,23805.1831430101,0.23805183143010167,17,64.70588235294117,-0.18123703540098313,1.3214149603209155,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
buy_hold,0.27637713236998285,14740.800000000003,0.14740921571499888,0,,-0.09406972918509238,1.5349230928005202,"{""buy_pct_cash"": 1.0}"
rsi (best),0.0,0.0,0.0,0,,0.0,,"{""portfolio"": {""buy_pct_cash"": 0.5, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 80.0, ""rsi_oversold"": 10.0, ""rsi_window"": 7}}"
bollinger (best),0.0,0.0,0.0,0,,0.0,,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 3.5, ""bb_window"": 50}}"
macd (best),-0.2613253813503166,-15690.90857603999,-0.15690908576039975,0,,-0.23151095412709122,-0.8808953351809811,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 60, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 50}}"
