Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
sma_price (best),0.5882952004376665,300879.36933815,3.09601769465951,179,79.3296089385475,-0.12381287692098641,2.707649319636718,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.515529888963365,255051.8888139,2.5505188881389915,48,100.0,-0.1195405894581385,2.4455995446371954,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 15, ""macd_signal_window"": 20, ""macd_slow_window"": 30}}"
bollinger (best),0.30210014541949937,123559.13406915005,1.2355913406915011,37,100.0,-0.11691294554999998,1.910864309722296,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 10}}"
buy_hold,0.21377479299381275,79910.99999999999,0.8047660761947661,0,,-0.08204359460775923,1.9994989387641786,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
rsi (best),0.19763663938581355,73262.66385665,0.7326266385664975,70,97.14285714285714,-0.09663100029674287,1.4973384196925263,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 30.0, ""rsi_window"": 7}}"
