Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
sma_price (best),1.0901895054779969,806873.1364488653,8.458100511755461,13,92.3076923076923,-0.31110419674457246,3.2188574107632193,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 21, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 50}}"
macd (best),0.8944442000330473,600904.5406565487,6.009045406565482,27,85.18518518518519,-0.24795462739909213,2.9656990269276946,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 15, ""macd_signal_window"": 20, ""macd_slow_window"": 36}}"
buy_hold,0.5744343034001342,295366.05,2.988049255160111,0,,-0.26193342308642065,2.396302299254475,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.3312357188862476,139156.27940564867,1.3915627940564814,11,100.0,-0.09999346797705422,2.719926217489011,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 3.0, ""bb_window"": 50}}"
rsi (best),0.10958854295729181,37289.227412769134,0.37289227412769055,7,85.71428571428571,-0.2850772766448414,0.5801695634515542,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 21, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 40.0, ""rsi_window"": 10}}"
