entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-02-14 00:00:00+00:00,2023-02-15 00:00:00+00:00,tgc,LONG,126,99.5,97.0,-315.0,0.41372100000000006,0.4033260000000001,-315.817047,-0.025190798994974874,1
2023-02-14 00:00:00+00:00,2023-09-19 00:00:00+00:00,tgc,LONG,186,99.5,104.65,957.900000000001,0.6107310000000001,0.6423417000000001,956.646927300001,0.0516910859296483,217
2023-02-14 00:00:00+00:00,2024-01-30 00:00:00+00:00,tgc,LONG,190,99.5,94.02,-1041.2000000000007,0.6238650000000001,0.5895054000000001,-1042.4133704000008,-0.05513955939698496,350
2023-05-16 00:00:00+00:00,2024-01-30 00:00:00+00:00,tgc,LONG,13,84.85,94.02,119.21000000000002,0.03640065000000001,0.04033458000000001,119.13326477000001,0.10800350371243372,259
2023-05-16 00:00:00+00:00,2024-04-16 00:00:00+00:00,tgc,LONG,204,84.85,98.33,2749.920000000001,0.5712102000000001,0.6619575600000001,2748.686832240001,0.1587973489687685,336
2023-05-16 00:00:00+00:00,2024-07-16 00:00:00+00:00,tgc,LONG,149,84.85,92.0,1065.3500000000008,0.41720745000000004,0.4523640000000001,1064.4804285500009,0.08419757159693583,427
2023-12-12 00:00:00+00:00,2024-07-16 00:00:00+00:00,tgc,LONG,61,99.05,92.0,-430.04999999999984,0.19938765000000003,0.18519600000000006,-430.43458364999987,-0.07123982483594142,217
2023-12-12 00:00:00+00:00,2024-07-19 00:00:00+00:00,tgc,LONG,194,99.05,91.31,-1501.559999999999,0.6341181,0.5845666200000001,-1502.778684719999,-0.07820577364967184,220
2024-02-19 00:00:00+00:00,2024-07-19 00:00:00+00:00,tgc,LONG,18,108.0,91.31,-300.41999999999996,0.064152,0.05423814000000001,-300.53839013999993,-0.15459793731481478,151
2024-02-19 00:00:00+00:00,2024-08-06 00:00:00+00:00,tgc,LONG,188,108.0,90.0,-3384.0,0.6700320000000001,0.5583600000000001,-3385.228392,-0.16672716666666668,169
2024-07-11 00:00:00+00:00,2024-08-06 00:00:00+00:00,tgc,LONG,25,92.72,90.0,-67.99999999999997,0.07649399999999999,0.07425000000000001,-68.15074399999997,-0.029400666091458142,26
2024-07-11 00:00:00+00:00,2024-09-05 00:00:00+00:00,tgc,LONG,203,92.72,90.32,-487.2000000000012,0.6211312800000001,0.6050536800000001,-488.4261849600012,-0.025949528904227845,56
2024-07-18 00:00:00+00:00,2024-09-05 00:00:00+00:00,tgc,LONG,11,92.7,90.32,-26.180000000000106,0.033650100000000016,0.03278616000000001,-26.246436260000106,-0.02573937065803678,49
2024-07-18 00:00:00+00:00,2024-10-09 00:00:00+00:00,tgc,LONG,207,92.7,91.71,-204.93000000000188,0.6332337000000002,0.6264710100000002,-206.18970471000188,-0.010745259223301069,83
2024-08-05 00:00:00+00:00,2024-10-09 00:00:00+00:00,tgc,LONG,5,90.68,91.71,5.149999999999935,0.014962200000000004,0.015132150000000006,5.119905649999934,0.011292248897220851,65
2024-08-05 00:00:00+00:00,2024-10-14 00:00:00+00:00,tgc,LONG,212,90.68,91.4,152.63999999999976,0.6343972800000001,0.6394344000000002,151.36616831999976,0.00787374680194088,70
2024-08-05 00:00:00+00:00,2024-10-21 00:00:00+00:00,tgc,LONG,1,90.68,91.5,0.8199999999999932,0.002992439999999985,0.0030194999999999996,0.8139880599999932,0.008976489413321496,77
2024-08-16 00:00:00+00:00,2024-10-21 00:00:00+00:00,tgc,LONG,211,90.81,91.5,145.58999999999952,0.6323100300000001,0.6371144999999999,144.3205754699995,0.007532031384208762,66
2024-08-16 00:00:00+00:00,2025-04-08 00:00:00+00:00,tgc,LONG,3,90.81,112.0,63.56999999999999,0.008990190000000009,0.011088,63.549921809999994,0.23327064497302055,235
2024-09-23 00:00:00+00:00,2025-04-08 00:00:00+00:00,tgc,LONG,207,94.0,112.0,3726.0,0.6421140000000001,0.7650720000000001,3724.5928139999996,0.19141704255319147,197
2024-10-10 00:00:00+00:00,2025-04-08 00:00:00+00:00,tgc,LONG,4,91.7,112.0,81.19999999999999,0.012104400000000005,0.014784,81.17311159999998,0.2213007404580152,180
2024-10-10 00:00:00+00:00,2025-04-14 00:00:00+00:00,tgc,LONG,208,91.7,110.0,3806.3999999999996,0.6294288000000002,0.75504,3805.0155311999997,0.1994912093784078,186
2024-10-18 00:00:00+00:00,2025-04-14 00:00:00+00:00,tgc,LONG,1,91.68,110.0,18.319999999999993,0.0030254400000000008,0.00363,18.313344559999994,0.1997528856893542,178
2024-10-18 00:00:00+00:00,2025-05-15 00:00:00+00:00,tgc,LONG,206,91.68,112.5,4288.919999999998,0.62324064,0.7647750000000002,4287.531984359998,0.22702074672774858,209
2024-10-18 00:00:00+00:00,2025-05-19 00:00:00+00:00,tgc,LONG,4,91.68,111.55,79.47999999999996,0.012101760000000072,0.014724600000000001,79.45317363999997,0.21665895953315872,213
2025-01-07 00:00:00+00:00,2025-05-19 00:00:00+00:00,tgc,LONG,201,87.98,111.55,4737.569999999999,0.5835713400000002,0.7399111500000001,4736.246517509999,0.2678269551034325,132
2025-01-07 00:00:00+00:00,2025-06-06 00:00:00+00:00,tgc,LONG,20,87.98,111.5,470.3999999999999,0.058066799999999974,0.07359000000000002,470.2683431999999,0.2672586628779267,150
2025-04-11 00:00:00+00:00,2025-06-06 00:00:00+00:00,tgc,LONG,184,111.7,111.5,-36.80000000000052,0.6782424,0.6770280000000001,-38.155270400000525,-0.001856451208594475,56
2025-04-11 00:00:00+00:00,2025-09-16 00:00:00+00:00,tgc,LONG,10,111.7,120.5,87.99999999999997,0.03686100000000003,0.039765,87.92337399999997,0.07871385317815574,158
2025-04-15 00:00:00+00:00,2025-09-16 00:00:00+00:00,tgc,LONG,193,112.0,120.5,1640.5,0.7133280000000001,0.7674645,1639.0192075,0.07582435267857143,154
