Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
sma_price (best),0.10884996597341634,37010.913478064,0.3701091347806382,174,51.14942528735632,-0.15509582708077807,0.6330315518059704,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.0975373328404352,32795.27843108348,0.32795278431083563,84,58.333333333333336,-0.17614773608439083,0.556594142607309,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 20}}"
buy_hold,0.016720789154737847,5181.0,0.05183604548030396,0,,-0.06380467503122489,0.28776734944550486,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.015831021711430138,4903.323091815997,0.049033230918160475,16,75.0,-0.16636553615680405,0.0944790956879391,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.5, ""bb_window"": 20}}"
rsi (best),-0.0075382952987881335,-2279.701193997942,-0.02279701193997785,45,48.888888888888886,-0.10896099844660956,-0.1135700093798334,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_window"": 5}}"
