Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
rsi (best),0.27553919697814444,66837.06249279191,0.6683706249279233,1,100.0,-0.18649856931176234,1.149265039932016,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 7}}"
macd (best),0.2017529079867142,47185.579838607344,0.4718557983860723,4,100.0,-0.14078646768718006,1.004789603187074,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 60, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 50}}"
bollinger (best),0.1531043870822566,34933.72809351064,0.34933728093510874,8,100.0,-0.11637031957942812,1.0409475829591384,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 21, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 14}}"
buy_hold,0.10378827375246669,23082.300000000003,0.23082490357778873,0,,-0.0762389366705074,1.0909699210664494,"{""buy_pct_cash"": 1.0}"
sma_price (best),0.08700705931222186,19179.892366389147,0.19179892366389062,58,58.620689655172406,-0.16250131185049121,0.49685909462439487,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
