Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
macd (best),0.43248067760999676,199019.2283752804,1.9901922837528114,53,83.01886792452831,-0.16607609636935405,2.4880913869375014,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 9, ""macd_slow_window"": 30}}"
sma_price (best),0.3856127038919126,170190.71450140013,1.701907145014005,84,72.61904761904762,-0.15984437261590267,2.191369257734463,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
rsi (best),0.34993427712963765,149536.81285642262,1.4954176239072563,5,100.0,-0.3179022870692544,1.5507613505950082,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 7}}"
buy_hold,0.1984479233297025,73619.99999999999,0.7362060748638393,0,,-0.2095228597684694,1.5023009315756835,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.16796707449795778,60510.25361196848,0.6051025361196865,22,100.0,-0.30091383006334893,0.9208964846246561,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 20}}"
