entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-03-17 00:00:00+00:00,2023-03-22 00:00:00+00:00,akt,LONG,66,287.0,286.0,-66.0,0.6250860000000003,0.6229080000000001,-67.24799399999999,-0.0035502055749128915,5
2023-03-17 00:00:00+00:00,2023-03-27 00:00:00+00:00,akt,LONG,78,287.0,290.0,234.0,0.7387380000000001,0.7464600000000001,232.51480199999997,0.010386616724738675,10
2023-03-17 00:00:00+00:00,2023-03-31 00:00:00+00:00,akt,LONG,80,287.0,287.6,48.00000000000182,0.7576800000000001,0.7592640000000002,46.48305600000182,0.0020245233449478145,14
2023-03-17 00:00:00+00:00,2023-04-21 00:00:00+00:00,akt,LONG,37,287.0,302.0,555.0,0.35042700000000004,0.36874200000000007,554.280831,0.05219708362369338,35
2023-03-23 00:00:00+00:00,2023-04-21 00:00:00+00:00,akt,LONG,43,286.15,302.0,681.550000000001,0.40604685,0.42853800000000003,680.7154151500009,0.05532270155512851,29
2023-03-23 00:00:00+00:00,2023-05-24 00:00:00+00:00,akt,LONG,72,286.15,308.2,1587.6000000000008,0.6798924,0.7322832000000001,1586.1878244000009,0.07698894443473707,62
2023-03-29 00:00:00+00:00,2023-05-24 00:00:00+00:00,akt,LONG,8,290.0,308.2,145.5999999999999,0.07656000000000002,0.08136480000000001,145.44207519999992,0.06269054965517237,56
2023-03-29 00:00:00+00:00,2023-06-07 00:00:00+00:00,akt,LONG,79,290.0,315.6,2022.400000000002,0.7560300000000002,0.8227692000000001,2020.8212008000019,0.08820694896551733,70
2023-04-04 00:00:00+00:00,2023-07-12 00:00:00+00:00,akt,LONG,79,290.0,364.0,5846.0,0.7560300000000001,0.9489480000000001,5844.295022,0.2550979931034483,99
2023-04-04 00:00:00+00:00,2023-07-24 00:00:00+00:00,akt,LONG,2,290.0,384.0,188.0,0.019140000000000046,0.025344000000000005,187.95551600000002,0.32406123448275864,111
2023-05-11 00:00:00+00:00,2023-07-24 00:00:00+00:00,akt,LONG,75,306.0,384.0,5850.0,0.7573500000000002,0.9504000000000001,5848.29225,0.25482754901960786,74
2023-05-11 00:00:00+00:00,2023-08-04 00:00:00+00:00,akt,LONG,3,306.0,401.25,285.75,0.030293999999999932,0.03972375000000001,285.67998224999997,0.311198237745098,85
2023-05-31 00:00:00+00:00,2023-08-04 00:00:00+00:00,akt,LONG,73,319.5,401.25,5967.75,0.7696755000000001,0.9666112500000001,5966.01371325,0.25579410093896715,65
2023-05-31 00:00:00+00:00,2023-09-08 00:00:00+00:00,akt,LONG,4,319.5,412.95,373.79999999999995,0.042174000000000045,0.054509400000000006,373.7033166,0.2924126107981221,100
2023-06-16 00:00:00+00:00,2023-09-08 00:00:00+00:00,akt,LONG,71,320.05,412.95,6595.899999999999,0.7498771500000001,0.96754185,6594.182580999998,0.2901915669426651,84
2023-06-16 00:00:00+00:00,2023-10-11 00:00:00+00:00,akt,LONG,6,320.05,482.0,971.6999999999999,0.06336990000000009,0.09543600000000002,971.5411941,0.5059319867208248,117
2023-07-20 00:00:00+00:00,2023-10-11 00:00:00+00:00,akt,LONG,68,387.0,482.0,6460.0,0.8684280000000001,1.0816080000000003,6458.049964,0.24540393540051678,83
2023-07-20 00:00:00+00:00,2023-10-20 00:00:00+00:00,akt,LONG,4,387.0,511.1,496.4000000000001,0.05108400000000002,0.0674652,496.2814508000001,0.32059525245478043,92
2023-07-28 00:00:00+00:00,2023-10-20 00:00:00+00:00,akt,LONG,69,399.0,511.1,7734.9000000000015,0.9085230000000002,1.1637747,7732.827702300001,0.28087710952380956,84
