Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
sma_price (best),0.10882118494527404,37000.075760799984,0.3700007576079969,174,51.14942528735632,-0.15507415948484649,0.6328402433441279,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.09751245040115264,32786.10341395001,0.3278610341394981,84,58.333333333333336,-0.17616688654770774,0.5564319357352109,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 20}}"
buy_hold,0.016720801020252862,5181.0,0.05183608289081354,0,,-0.06380471610290572,0.287767357495428,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.015825866380701603,4901.7005992000195,0.049017005992001206,16,75.0,-0.16636871411802623,0.09444723011332491,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.5, ""bb_window"": 20}}"
rsi (best),0.010872861073657925,3345.5718164000136,0.03350660428695207,104,57.692307692307686,-0.15449553110648462,0.07265902860834571,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 40.0, ""rsi_window"": 7}}"
