Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
sma_price (best),0.5883310163939601,300907.6263300595,3.096299194308518,178,79.21348314606742,-0.12380522776881908,2.707905185591868,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.5155414134443905,255060.11716394703,2.5506011716394767,48,100.0,-0.11953753597325378,2.4456885514300706,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 15, ""macd_signal_window"": 20, ""macd_slow_window"": 30}}"
bollinger (best),0.3021084732998207,123563.49165577954,1.2356349165577991,37,100.0,-0.1169100403515001,1.9109419122609532,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 10}}"
buy_hold,0.21377466329157935,79910.99999999999,0.8047654884471298,0,,-0.08204355832803978,1.9994987126670551,"{""buy_pct_cash"": 1.0}"
rsi (best),0.05223719156494888,16786.85808229205,0.16786858082291944,25,92.0,-0.0325773462285025,1.0686064646499926,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_window"": 5}}"
