Strategy,Signal,Signal Date,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params,Signal (-1/0/+1)
sma_price (best),SELL,2026-01-28,0.13550154792530833,46629.10663580659,0.46629106635807305,31,70.96774193548387,-0.20687039343860325,0.7563434776624447,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 50}}",-1.0
rsi (best),HOLD,2026-01-28,0.06898453867489374,22252.89982343986,0.22252899823439765,16,93.75,-0.12998638403274254,0.7873933920938991,"{""portfolio"": {""buy_pct_cash"": 0.5, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 30.0, ""rsi_window"": 28}}",0.0
bollinger (best),HOLD,2026-01-28,0.029515951187941925,9156.507931540575,0.0915650793154068,6,100.0,-0.09340877607882825,0.37531239219647816,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.5, ""bb_window"": 50}}",0.0
macd (best),SELL,2026-01-28,0.024536533301402486,7574.088406323877,0.07574088406323742,17,64.70588235294117,-0.10219557532370827,0.27981615079936717,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 26, ""macd_signal_window"": 20, ""macd_slow_window"": 30}}",-1.0
buy_hold,,,0.007605651654073897,2308.625,0.023083211580773977,0,,-0.07722443750268282,0.1426928369867027,"{""buy_pct_cash"": 1.0}",
