entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-01-26 00:00:00+00:00,2023-02-06 00:00:00+00:00,cdm,LONG,43,580.0,571.9,-348.300000000001,0.8230200000000001,0.8115261000000001,-349.93454610000094,-0.014031056379310382,11
2023-01-26 00:00:00+00:00,2023-03-03 00:00:00+00:00,cdm,LONG,42,580.0,651.9,3019.7999999999993,0.8038800000000001,0.9035334,3018.0925865999993,0.12389542637931032,36
2023-01-26 00:00:00+00:00,2023-03-31 00:00:00+00:00,cdm,LONG,43,580.0,635.0,2365.0,0.8230200000000001,0.901065,2363.275915,0.09475845689655173,64
2023-01-26 00:00:00+00:00,2023-04-07 00:00:00+00:00,cdm,LONG,43,580.0,610.0,1290.0,0.8230200000000001,0.8655900000000001,1288.3113899999998,0.05165643103448275,71
2023-01-26 00:00:00+00:00,2023-04-20 00:00:00+00:00,cdm,LONG,1,580.0,600.0,20.0,0.019139999999999935,0.019800000000000005,19.96106,0.034415620689655174,84
2023-02-10 00:00:00+00:00,2023-04-20 00:00:00+00:00,cdm,LONG,36,614.0,600.0,-504.0,0.7294320000000001,0.7128000000000002,-505.442232,-0.022866550488599348,69
2023-03-23 00:00:00+00:00,2023-04-20 00:00:00+00:00,cdm,LONG,6,635.0,600.0,-210.0,0.12573,0.11880000000000002,-210.24453,-0.05518229133858268,28
2023-03-23 00:00:00+00:00,2023-05-12 00:00:00+00:00,cdm,LONG,41,635.0,640.0,205.0,0.8591550000000002,0.8659200000000004,203.27492500000002,0.007807755905511812,50
2023-04-04 00:00:00+00:00,2023-05-12 00:00:00+00:00,cdm,LONG,2,635.0,640.0,10.0,0.04191,0.042240000000000014,9.91585,0.007807755905511812,38
2023-04-04 00:00:00+00:00,2023-06-05 00:00:00+00:00,cdm,LONG,41,635.0,700.0,2665.0,0.859155,0.9471000000000002,2663.193745,0.10229282677165355,62
2023-04-19 00:00:00+00:00,2023-06-05 00:00:00+00:00,cdm,LONG,2,600.0,700.0,200.0,0.0396,0.046200000000000005,199.9142,0.16659516666666666,47
2023-04-19 00:00:00+00:00,2023-06-23 00:00:00+00:00,cdm,LONG,42,600.0,747.0,6174.0,0.8316000000000001,1.035342,6172.133057999999,0.24492591499999997,65
2023-04-25 00:00:00+00:00,2023-08-03 00:00:00+00:00,cdm,LONG,41,615.0,702.0,3567.0,0.8320950000000001,0.9498060000000003,3565.2180989999997,0.1413927463414634,100
2023-04-25 00:00:00+00:00,2023-09-06 00:00:00+00:00,cdm,LONG,1,615.0,720.0,105.0,0.020295000000000063,0.023760000000000003,104.955945,0.1706600731707317,134
2023-05-15 00:00:00+00:00,2023-09-06 00:00:00+00:00,cdm,LONG,41,640.0,720.0,3280.0,0.8659200000000004,0.9741600000000002,3278.1599199999996,0.12492987499999998,114
2023-05-15 00:00:00+00:00,2023-10-18 00:00:00+00:00,cdm,LONG,2,640.0,735.0,190.0,0.042239999999999944,0.04851000000000001,189.90925000000001,0.1483666015625,156
2023-06-14 00:00:00+00:00,2023-10-18 00:00:00+00:00,cdm,LONG,40,740.0,735.0,-200.0,0.9768000000000002,0.9702000000000002,-201.947,-0.006822533783783784,126
2023-07-28 00:00:00+00:00,2023-11-01 00:00:00+00:00,cdm,LONG,39,744.0,760.0,624.0,0.9575280000000002,0.9781200000000003,622.064352,0.021438666666666665,96
2023-08-08 00:00:00+00:00,2023-11-01 00:00:00+00:00,cdm,LONG,3,730.0,760.0,90.0,0.07227000000000001,0.07524000000000002,89.85249,0.04102853424657534,85
2023-08-08 00:00:00+00:00,2023-12-22 00:00:00+00:00,cdm,LONG,40,730.0,737.0,280.0,0.9636000000000002,0.9728400000000001,278.06356,0.009522724657534246,136
2023-09-27 00:00:00+00:00,2023-12-22 00:00:00+00:00,cdm,LONG,2,700.0,737.0,74.0,0.046200000000000005,0.048642000000000005,73.905158,0.05278939857142857,86
2023-09-27 00:00:00+00:00,2024-01-18 00:00:00+00:00,cdm,LONG,41,700.0,811.0,4551.0,0.9471000000000002,1.0972830000000002,4548.955617,0.1585001957142857,113
2023-10-23 00:00:00+00:00,2024-02-05 00:00:00+00:00,cdm,LONG,41,760.0,825.0,2665.0,1.0282800000000003,1.1162250000000002,2662.855495,0.08545749342105262,105
2023-12-07 00:00:00+00:00,2024-02-19 00:00:00+00:00,cdm,LONG,40,750.0,860.0,4400.0,0.9900000000000002,1.1352000000000002,4397.8748000000005,0.14659582666666668,74
2023-12-07 00:00:00+00:00,2024-03-29 00:00:00+00:00,cdm,LONG,2,750.0,900.0,300.0,0.0495000000000001,0.05940000000000001,299.8911,0.1999274,113
2024-01-02 00:00:00+00:00,2024-03-29 00:00:00+00:00,cdm,LONG,38,797.0,900.0,3914.0,0.9994380000000002,1.1286,3911.871962,0.129164365119197,87
2024-01-02 00:00:00+00:00,2024-04-15 00:00:00+00:00,cdm,LONG,1,797.0,920.0,123.0,0.02630100000000002,0.030360000000000005,122.943339,0.15425763989962357,104
2024-01-31 00:00:00+00:00,2024-04-15 00:00:00+00:00,cdm,LONG,39,859.0,920.0,2379.0,1.105533,1.1840400000000002,2376.710427,0.0709444621653085,75
2024-02-09 00:00:00+00:00,2024-05-30 00:00:00+00:00,cdm,LONG,38,875.0,887.9,490.19999999999914,1.0972500000000003,1.1134266000000004,487.98932339999914,0.014676370628571403,111
2024-03-12 00:00:00+00:00,2024-05-30 00:00:00+00:00,cdm,LONG,3,820.0,887.9,203.69999999999993,0.08118000000000002,0.08790210000000002,203.53091789999993,0.08273614548780485,79
2024-03-12 00:00:00+00:00,2024-06-07 00:00:00+00:00,cdm,LONG,39,820.0,890.0,2730.0,1.0553400000000002,1.1454300000000002,2727.79923,0.08529703658536586,87
