Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
sma_price (best),0.04880253298658088,169032.92700000026,1.6903292700000216,172,63.372093023255815,-0.030754576958004542,1.5216270756029804,2026-01-28,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 30}}"
macd (best),0.04637109981765186,156371.42400000023,1.5637142399999973,231,57.57575757575758,-0.03576318538703083,1.5123021875705853,2026-01-28,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 9, ""macd_slow_window"": 20}}"
buy_hold,0.0031282131296561655,6675.899999999994,0.06702145265753767,0,,-0.2863865164024766,0.06134933760610214,2026-01-28,HOLD,0,"{""buy_pct_cash"": 1.0}"
bollinger (best),-0.028184905164692298,-44777.73900000005,-0.44777739000000105,96,45.83333333333333,-0.5112408922580344,-0.4805692402396424,2026-01-28,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 30}}"
rsi (best),-0.04154168019100435,-58573.43300000009,-0.5857343300000009,217,51.1520737327189,-0.6650393256736475,-0.4693445395121802,2026-01-28,BUY,1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 80.0, ""rsi_oversold"": 40.0, ""rsi_window"": 10}}"
