Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
sma_price (best),0.595041870868086,314927.36481646093,3.1492736481646064,170,70.58823529411765,-0.23210696993474345,2.5455461073269805,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.4761814967573075,227697.81542861345,2.276978154286148,72,86.11111111111111,-0.23522313672983142,2.3376808085214007,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 20}}"
bollinger (best),0.24345315815681556,94264.95079653655,0.9426495079653672,37,100.0,-0.3031140181556581,1.3465483308383461,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 20}}"
buy_hold,0.19844779824494596,73620.00000000001,0.7362055225993429,0,,-0.20952278802300384,1.5023006596272384,"{""buy_pct_cash"": 1.0}"
rsi (best),0.04076503421942124,12949.425070878948,0.12949522210904374,34,82.35294117647058,-0.13057862788553787,0.6018528948237601,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_window"": 5}}"
