Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
rsi (best),0.9331100534217505,645419.9366834138,6.454199366834123,0,,-0.36708328982974936,2.0940786031067993,"{""portfolio"": {""buy_pct_cash"": 0.5, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 28}}"
sma_price (best),0.6019652645971003,320432.66886406136,3.2044062268186897,3,66.66666666666666,-0.2129011845273442,1.6548169326964015,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 120, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 50}}"
bollinger (best),0.43152060545048787,198408.88130383816,1.9840888130383934,9,100.0,-0.2155728310235534,1.4495692085798064,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 3.0, ""bb_window"": 50}}"
buy_hold,0.3123437191742371,128961.30000000002,1.2896236658924076,0,,-0.27819538148090384,1.3985577296631648,"{""buy_pct_cash"": 1.0}"
macd (best),0.1630782238545927,58471.441430018924,0.584714414300191,13,53.84615384615385,-0.22106494643450758,1.1002567274194641,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 21, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 12, ""macd_signal_window"": 5, ""macd_slow_window"": 30}}"
