Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
bollinger (best),0.26870341490214367,104208.12283595906,1.042115616623681,25,96.0,-0.17008722228623796,1.0901374835253874,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 20}}"
rsi (best),0.2510961310827722,95823.60000000002,0.9582676214050643,0,,-0.20311487816377782,0.799869550917661,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 14}}"
macd (best),0.22287097019630142,82869.76472241268,0.8286976472241274,8,100.0,-0.12053893395295567,0.8514590187219382,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 60, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 50}}"
sma_price (best),0.1580891816317438,55319.51077035809,0.5531951077035828,109,56.88073394495413,-0.18308168982720674,0.5738532047146201,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 10}}"
buy_hold,0.0742102658484507,23955.899999999994,0.2395609762889035,0,,-0.08641355587212252,0.6559427796499112,"{""buy_pct_cash"": 1.0}"
