Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Best Params
sma_price (best),0.5657077825979855,292106.5250996811,2.9210652509968043,107,62.616822429906534,-0.32320402294521844,1.5994798189938175,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 14}}"
macd (best),0.5194428580417207,257853.07479176397,2.578530747917637,42,83.33333333333334,-0.27535250766591923,1.6941650073244938,"{""portfolio"": {""buy_pct_cash"": 0.5, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 12, ""macd_signal_window"": 9, ""macd_slow_window"": 20}}"
buy_hold,0.25076206313895333,97292.16,0.9776592605372938,0,,-0.25720748493346957,1.0596572250794767,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.20260490268945097,75462.49056266216,0.7546249056266197,39,74.35897435897436,-0.32072306986584276,0.9003579284288873,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 10}}"
rsi (best),0.09773892453655142,32869.62797636035,0.3286962797636026,43,81.3953488372093,-0.09926575915104952,0.8635682073012062,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_window"": 5}}"
